strategy_id,url,known_title_or_context,rule_status,asset_classes
CPR01,https://youtu.be/gJDe4H7C_oI,Most Powerful CPR strategy - Find perfect Breakouts and Reversal,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
CPR02,https://youtu.be/jip0tBDHLHM,Secrets of Price Action Trading | CPR Strategy,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
CPR03,https://youtu.be/DEJk1kUJo68,Video title not independently retrievable,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
CPR04,https://youtu.be/fWFK-Gn0AiE,3 Common Mistakes Using Candlestick Patterns That Ruin Your Trading,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
CPR05,https://youtu.be/1qgI1qOfJaI,Video title not independently retrievable,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
CPR06,https://youtu.be/xIXI0NKTygg,Why Virgin CPR Beats Average Trading Strategies Every Time,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
CPR07,https://youtu.be/Q1Pq2LYQ8fM,Video title not independently retrievable,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
CPR08,https://youtu.be/Fvem1Ai2Z8w,Video title not independently retrievable,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
CPR09,https://youtu.be/x_VT3HALjB8,Video title not independently retrievable,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
CPR10,https://youtu.be/pUOoDLdJSA4,Video title not independently retrievable,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
CPR11,https://youtu.be/0_349o_Y7O4,Video title not independently retrievable,NEEDS_TRANSCRIPT,INTRADAY_LONG_SHORT|BTST|SWING|OPTIONS
